,variables,"Imp,var Austria","Imp,var Croatia","Imp,var Czechia","Imp,var Denmark","Imp,var Estonia","Imp,var Finland","Imp,var France","Imp,var Germany","Imp,var Great-Britain","Imp,var Hungary","Imp,var Italy","Imp,var Lithuania","Imp,var Netherlands","Imp,var Norway","Imp,var Poland","Imp,var Portugal","Imp,var Romania","Imp,var Slovakia","Imp,var Slovenia","Imp,var Spain","Imp,var Sweden"
15,c_uns,"1,57439010474281","1,30801995366814","2,19777989099192","1,21112821095593","0,705707520613264","0,391797173501943","3,45617831851019","2,03386143986912","3,24851165629825","1,72798889380725","4,77143623858756","1,99318397446796","2,91388267621644","1,8747660001678","1,00204895672304","0,109375373593021","0,760014654539986","1,28404021785818","1,17992988052083","0,795485961862131","0,721957959759723"
16,city_siz,"2,45288494286056","2,70646670153216","5,72762993509579","2,40104410516209","2,20539089694138","1,37025719771975","3,0696225415025","2,7809291113891",NA,"3,61081518436584","2,9673182505472","3,02313460241244",NA,"7,73867512072733","1,26354785949602","0,224562908540852","1,39211556692685","1,84444991008081","2,68376902840894","0,726055159294592","1,10310034127278"
17,cls_cnt,"0,8816289235561","1,46177988769086","1,92708474340336","1,39784713326984","0,387855853388857","0,299823853637488","1,85997585163301","1,64219982481889","2,92652644820955","0,812196434397026","2,14070955950348","1,57613989521852","1,83796001430443","0,861123106235076","0,671777239646237","0,275260033441027","0,542387414710485","0,932750659390991","0,836783879061222","0,484156055735613","0,723656597078097"
18,cls_eu,"1,52246907066942","2,67541299164982","3,89962651912227","1,68782299092199","1,02528526955123","1,58648362557375","3,45191986327633","1,95708730828032","5,72917012863715","1,15099464789052","15,8973930838649","1,69959805978395","4,80539765804041","1,21788097537018","2,03040416882136","0,279673419106557","0,743003251653626","1,3749434789582","1,2480058920867","0,581580189942504","0,658752761771472"
19,cls_rgn,"1,02310308136106","1,52109331900691","1,49028263323363","1,58525399692252","0,753599283830586","0,294688966805387","2,36789276987225","3,3504893469681","2,62768084538898","0,728446960140684","1,69663506252947","1,23099373547051","3,16349554655923","2,65025320854239","0,882126816484537","0,485042115817273","0,415665498592092","0,903616772253105","0,931456633201783","0,79160442773027","0,636084612823461"
20,cls_vlg,"1,32327933372138","2,22843441388359","2,37772457050248","1,20948953150013","0,723228993647199","0,443355536271934","2,42269161615416","1,7895949133468","2,57715239252505","1,25577939530178","1,9748023719826","1,14364102289004","3,13072081270197","1,46940419495712","2,01266830491323","0,341733586113017","2,56055165613654","1,21146946356589","1,14913486275397","0,877574732924276","0,383029976970025"
21,cls_wrl,"1,49005475570248","2,35121843843305","2,71692528878787","1,72234788671683","1,1916376430381","0,529550787783719","4,39625954403916","1,98241408983196","4,39347672603148","1,0694572463211","1,7283455192632","2,12010060120536","3,64816055652889","1,43604188494363","1,0979607288046","0,261386469605928","0,732236983223316","1,2856880570565","1,35352499335929","0,599647839523711","1,09353869059281"
22,cq_hwr,"0,584368950129061","1,21862124258879","1,07983285918443","0,497738969603514","0,216605252072695","0,162394936942096","1,37136756881045","0,839553551919932","0,864688942752987","0,578554847719875","0,566551514031157","1,05933054094143","0,76305767480849","1,35515363035672","0,468379365812801","0,108263556307211","1,94534374629061","0,836558944642527","0,546950430159885","0,290447030188225","0,106955906260013"
23,cq_img,"0,420995971805593","1,01989347974589","0,734012147350613","0,997860157336511","0,199928798676581","0,227418666605939","1,0513495240828","0,700844284920209","1,59582251733152","1,02510070181852","1,0677792236673","0,645282214795322","1,23906971481731","1,88817546780028","0,255078720285258","0,0305558601458602","0,526391953552971","1,41800910080949","0,517590604321836","0,600050556371769","0,242148084338425"
24,cq_ind,"0,500063939692928","0,741702447406883","1,25700430498729","0,612431765338539","0,391767815447439","0,199556819650937","1,03869931261845","0,979242599195507","1,15555341159548","0,287076894518759","0,738279417411523","1,02831871356273","1,17086511481939","0,67991289985163","0,490028318907331","0,0511766250766675","0,295830720243883","0,936915408326906","0,507340795091343","0,266611183624117","0,225835723223487"
25,cq_mnr,"0,575422660634526","0,772527045936838","0,873568173011032","1,65982136813001","0,270581969796208","0,0725114896596935","1,22208610701627","0,396833292952105","3,10684502698257","0,353303324750114","0,806364478238262","0,828352102707159","0,713705180111913","0,744325890091657","0,603550978482463","0,0600272867397561","0,600094281359291","0,760553070101481","0,583914342877229","0,194344706314607","0,361671064189232"
26,cq_obd,"0,46490269933344","0,474887922086068","1,20248051181532","0,482679768909947","0,259617061480635","0,241904068319986","0,954010138814494","0,359582344474909","0,744682082701081","0,381740820982568","0,631264867713757","0,974121419566437","0,914022553958698","2,47188489867235","0,344852027879965","0,101244306139688","0,297968780785938","0,509294536846188","0,681418619932511","0,326940188983212","0,2070166239517"
27,cq_prs,"0,671307303813369","1,04698765514646","0,733250808246578","0,56643456204936","0,451331742950511","0,157848934688865","0,993260111697436","0,498314989854269","1,10867131990176","0,48480882597637","0,727550987047186","1,48261734075992","1,21375325426345","0,643087146329499","0,431006017510377","0,241592660668406","0,241386567652442","1,59136544155372","0,593573011635181","0,299634546589832","0,278130182369796"
28,cq_rlg,"0,620970920162758","0,56759094442995","0,81444496419308","0,166288049260823","0,15265315862677","0,111869554455082","0,664051931669792","0,303900164138268","0,507921855392432","0,191172887821798","0,754409888934859","0,671336052344974","1,21735647981591","0,348223564766759","0,545337656498844","0,032222514619883","0,224373220036146","1,06338465662501","0,220174029475104","0,266264712748409","0,0858852490665107"
29,cq_rsp,"0,557231806884425","0,612823032938384","1,50472899426361","0,71027735327383","0,201585726138791","0,166351691324609","2,02055633646252","0,51170584929296","0,774107859706631","0,3613965911298","0,628723971966425","0,635583700697448","0,629034416397655","0,736491708810227","0,307314950391381","0,102081236994306","0,292981877505113","0,891512321608104","0,566176692140578","0,134816745449337","0,179248498791008"
30,cq_thr,"1,08879294491803","1,23099425769998","1,6105819903173","0,320191068763547","0,343628833287558","0,29549994255361","1,12491096313522","0,663707997048018","0,837907024430746","0,50033735801439","0,856727707202659","1,09444905271954","2,42989182031292","0,896026269200516","0,605406016640668","0,0489766344482457","0,598615607019057","0,827520594706796","0,503769209561355","0,276959794419439","0,336410838931102"
31,cq_tlr,"0,533741310815501","0,652066041293557","1,0994911454632","0,503014635031776","0,401292357770088","0,731668280170246","0,859373917445457","0,429728946852441","0,485621234738602","0,512644172891911","0,602014225125282","1,07584393770258","1,00733269623093","0,329132587972408","0,492101514412119","0,0826810398115115","0,328289924724594","0,836488056645952","0,614003744156008","0,278960530964719","0,36701719730377"
32,cq_uns,"0,119430146930445","1,59916379122103","1,70371942577953","0,718167919121915","0,232251494225594","0,314699203460487","1,03743539511331","0,28514338210803","1,17558829979445","0,442230859050934","0,751264162526992","0,950641554900032","1,08682509925525","1,07293887850652","0,589305720884434","0,0856194537358111","0,289944574198805","1,28549571613871","1,05133973318196","0,116238863135986","0,550997538315714"
33,dmc_aid,"2,54913471329034","2,88578187425614","7,02920180880198","2,99378488044347","1,85188056951195","1,16676765362284","6,5249378435782","2,4870418337073","4,60934434931908","1,76717089316318","3,56362385580329","3,25955935122186","5,85748605979958","3,44826860121733","2,0702684137302","0,602313748427836","1,53415468482812","3,29307103725856","2,49983197231757","0,866172487237118","0,937518401468007"
34,dmc_cnt,"4,0173763249664","3,36282467421802","6,75029465720344","4,26003437637736","3,37242918751173","4,37646535992651","12,8201802689868","11,5327683037225","5,04986462897449","9,20198789217733","2,94177774797908","4,73339079454935","12,0231662448666","7,29485497913864","38,8820009445245","0,876793571053104","3,00258755892987","5,4411683500748","3,49118037889003","2,55201497084497","4,08162927230236"
35,dmc_coup,"2,9761253844868","2,92906486522544","8,14903951173451","2,09324501835195","1,235789418113","2,33847295069204","5,15163268852539","3,14516073951709","6,59185095447984","2,95647522892744","5,47659266076797","4,29464834993093","6,10720406427773","4,45706770405324","1,79841069708826","0,568750625338463","1,91645939708834","4,28554182721962","2,28128039497837","1,05825513188415","0,945955048433079"
36,dmc_eql,"2,99807211764977","3,23043101227876","6,91462795737399","4,24087046860053","1,6519874556201","1,17674351157616","6,03855177886114","4,26932951240979","5,94909768541628","1,57292713699461","3,43337535205711","5,13128652609599","6,03467668787305","3,91398669872054","2,42582893386841","1,42862071686231","2,81769050613785","4,94116491650796","2,38300759175782","0,957835194529264","0,840855361453939"
37,dmc_imp,"2,47058271004155","2,73316003019762","9,72826329087921","1,2479311525032","0,821261666309077","1,11232364387316","3,73487139016088","1,77434772857253","3,11287402829962","2,56680202079123","2,54379043038889","3,18334699358183","3,72316408035465","1,31330137783726","2,37530777707142","0,231816657805703","1,41491464486054","3,19911242492696","2,00351657305749","1,01291009783737","0,457387784302575"
38,dmc_obey,"2,86325436190579","4,14498495119914","7,69487603790436","4,41607586774159","2,90902768774583","0,984058935651893","4,76415671725642","3,30105881861182","7,37015545720226","1,49559245212703","4,22928032803762","5,34130281867573","5,83425816536848","3,92542600297701","3,29982305512988","0,694662903628245","1,50772669649567","4,02057323058516","3,03437592830409","1,12960867781857","2,49092354455802"
39,dmc_ppl,"2,29467703475038","2,49691144884407","5,33548692615789","1,29084635167592","0,672677696749255","0,619426965306584","4,2101750383634","1,99026790264912","3,28037366289957","0,774560967137718","2,61968142964789","3,04878475349114","5,3078666279137","3,02670787373731","1,98944290979911","0,246947621858352","1,01266553728952","2,20603602430751","1,92225867647903","0,910942121523495","0,467431956706088"
40,dmc_rght,"2,97996882310145","2,7662915877816","5,70038777559216","2,21656284034937","1,45617469432331","1,45140746684906","4,86793012510002","4,25640119889883","4,26429198018748","1,20009980885576","2,82704559505858","3,63126021782002","5,52743270245834","3,22201523581655","1,39817811390001","0,262531840659126","0,808232705918251","2,99206290909349","1,87521600512278","1,12359153228014","1,04718042537884"
41,dmc_rlg,"2,15818291869757","2,90721239017858","6,30110471740961","2,23151860124633","1,40386532078147","0,640647525950693","3,53929627492942","3,25110044574623","3,42003305783598","1,8413889936439","3,55362053228779","3,57032502307281","6,41451231189146","2,64930557024703","3,09152749385824","0,126345483735198","1,33999273809601","3,99359236455114","2,02243015553304","1,63555818646205","0,703426140008649"
42,dmc_tax,"3,70359419661842","4,23552407157101","7,29967376503055","2,86374744931227","2,4048521784641","1,21089280722792","4,75062790161386","4,24169194445576","5,2120241133427","1,13742608243208","4,7039751734541","4,16093297883332","6,72297576026459","3,13898346211809","2,25138960712513","0,613391241184716","1,54975975816795","3,6589624478301","3,72412023528412","1,06150861722067","1,64454381622854"
