"","variables","Imp.var Austria","Imp.var Croatia","Imp.var Czechia","Imp.var Denmark","Imp.var Estonia","Imp.var Finland","Imp.var France","Imp.var Germany","Imp.var Great-Britain","Imp.var Hungary","Imp.var Italy","Imp.var Lithuania","Imp.var Netherlands","Imp.var Norway","Imp.var Poland","Imp.var Portugal","Imp.var Romania","Imp.var Slovakia","Imp.var Slovenia","Imp.var Spain","Imp.var Sweden"
"1","age",4.07877705049512,10.3991050455498,8.43860849945745,3.10015308925047,1.39385130532797,2.05905761163831,6.01328961315089,3.20540236417364,4.54489965147895,3.03255755529117,9.57037465989838,3.98919765831661,3.89040936914692,3.23170468201885,2.58277340334872,0.222003084829239,1.68908098184149,8.255619235061,1.68326109294799,2.44234038364225,1.08397103473051
"2","c_arm",1.8193774645434,2.07764557574344,3.42163917303102,2.2811622734026,0.983704631090585,0.499306801931544,3.9508239721656,2.75663394947043,3.09078928393754,1.96824902292181,1.80742578681644,2.65007673271585,3.02772764977795,3.06287271308437,3.51202875264533,0.0839802120369422,1.17621024408544,1.71600262488233,1.57316411297734,1.80108580003046,0.811734241192882
"3","c_chr",3.73748594730741,2.0847638243526,3.82965193562941,2.19870121132235,1.32771636019155,0.661604647259912,2.75340901657112,2.15036002875026,2.49691789354802,2.8513350516867,2.6081999261364,2.34908903532874,2.90633348553855,1.95664365691091,4.09159082914335,0.228893838435797,3.06348831925607,2.86499243784554,2.95481223809596,1.72103235763904,0.531281856572304
"4","c_cmp",1.55962651122085,1.68005171068734,2.87357197635633,3.54042860899483,1.23529136485882,0.772829181805388,5.59390349689582,2.20274369462637,2.73942108381826,1.02765926194914,2.06712348048875,2.2735976791807,3.05741494721395,2.03103955055216,1.45327947847596,0.126693964598316,0.859199518494231,1.94911806211345,1.22437132375754,0.831293511057531,0.707708631119092
"5","c_cvl",1.39984514462747,1.67999590597179,2.75544577218181,1.46454439411629,1.74703381338454,0.998574669606744,2.42605336801678,2.18734456182874,2.27566144053271,1.35513784780808,3.0867870120181,2.66099977023347,3.2252544289127,2.1679798254674,1.09118390230941,0.0900110454480659,1.22685900412148,2.52921904534365,1.23112416806303,0.750738115551756,0.759655965491518
"6","c_env",2.3103783084052,1.78281226826879,3.39617826251253,1.96939693074716,0.963090666710701,0.571922925696484,2.70192365919268,2.07077461965378,2.85475173946401,1.25617375586126,2.15626071012221,1.76157411004459,3.2433023847609,3.48502537766347,2.66067218063119,0.0965664761470227,1.22799937313411,2.05934620901308,1.53269138900844,0.676719218388783,0.643119266406653
"7","c_eu1",7.82185803986216,1.96590312757517,6.85546474489893,2.32200678787423,3.00639661070059,1.58574465201307,4.43021223610884,7.50041288093184,3.80298325894366,4.48441354381599,13.765316781077,1.95228950521565,13.7257684242739,6.11184071690677,8.65670628488732,0.101038230006511,1.02766851410438,2.38382957317509,1.35373279891997,0.73351928467593,2.08470935055269
"8","c_gvr",1.71648665825505,1.67049843561525,2.4560356216129,3.56478161503093,2.06468544735096,0.924018230656717,11.2879578569321,11.78215553807,2.80960236109647,9.50162357016921,2.18352915502605,2.13325855654761,9.21065904993571,4.65208591781974,9.07764341887458,0.163960828529158,1.47774647078474,5.27103076946915,1.02957707313095,0.521437871784678,1.64681859443394
"9","c_jst",1.47682531649995,1.75066266633934,3.22834884553536,1.35957857367483,1.15497309101729,1.4482437642249,2.41043585548226,3.68796606090175,2.4560403218,1.64684427864469,5.4287593569617,1.99883686648933,5.40595602281502,1.80457793396496,1.78629718606005,0.130316548369795,0.816235681229642,2.52602552292194,1.33664397364772,0.560593462156798,1.51234669737833
"10","c_onu",3.62006748238016,2.34475010311258,4.1855541585991,1.86810234778137,1.43924743383975,0.617164769149763,3.90080465341908,3.34507482095166,2.67263994259832,4.45639064324819,3.54526135296194,2.09225798623579,3.5455553211485,2.1914527586782,2.78545596652659,0.116845001674207,0.984445033331393,2.05463097985221,1.29685514492301,0.69459973580693,1.62381537820525
"11","c_plc",1.31979063988706,2.94519509139541,3.79395702945288,2.95682848809073,0.925724142045053,0.577647576671602,3.10638806608129,4.04521558011104,2.87124550779234,1.22883743204157,1.83997665552713,2.06319445249062,4.70398231242076,2.0741324882785,1.32841412064722,0.163537535910936,1.43037420279423,1.73535703161879,1.51767700998944,1.81951539944382,0.947320696772696
"12","c_prl",2.10250808785484,1.61997542648682,2.99357155821485,2.23836225738354,1.64930633739639,0.695755615585325,4.58461380818897,6.97062068565634,2.0577292220425,2.38144831039893,2.26766943880924,2.98613563485546,13.0270079845947,2.45460908781253,3.03452690326176,0.141735719728115,1.23627414060423,2.90596976217754,1.13159484678086,0.528615325886078,2.30389352418254
"13","c_prs",2.10633283180885,2.15841750674221,2.74255163156145,1.67170321378343,1.20722750085364,0.971868519856813,2.96300476504882,4.83977372002576,2.13473027979345,1.38138011584159,4.60983039320701,2.33494073090253,3.00231370098835,2.76210195812585,2.18767238695174,0.14877244396105,0.932859487263129,1.77767592737016,1.15244861849009,0.709015983727042,0.792277115051382
"14","c_prt",1.58470113108264,0.966334536796717,2.57584633174261,1.3968540602863,0.75611234031983,0.613285982707301,3.19738207366935,2.06871751500587,2.10251265077945,1.09066508175249,2.4620565450667,2.3035468842156,3.66859117242569,1.88897452616688,1.03220744931202,0.0852902305737255,1.03280879006332,2.76829553545735,1.04242013644578,0.521630782312861,0.832080429491238
"15","c_uns",2.22403767371666,1.40501723675977,2.84523629039344,1.74564474997449,1.0028628921148,0.491630876649074,3.55958212604304,1.97485753384779,2.8074955037709,1.48608166013302,5.90827095771423,2.11227022799189,3.55028559945977,1.83810605284041,1.43794770375026,0.102703439556705,0.955627226293985,1.81146057160925,1.33865411633664,0.751293057059727,0.716344610320787
"16","city_siz",2.51658776132942,2.85156361880033,5.43181244135125,2.4457400864753,1.79084732591608,1.01337215537988,3.4522284074704,2.72538072507661,NA,3.29324280444163,3.07001262305829,2.63635583769786,NA,5.65332659347489,1.61077249243171,0.109267849648056,1.71469289768472,2.03265663785408,2.68109411128824,0.848649974931723,1.08251239547662
"17","cls_cnt",1.21428851100627,2.02881332780146,2.24546851681498,2.15292088404422,0.626029251988884,0.448749134634622,2.10965274874605,2.03287772350977,2.99311847917833,0.952989089475229,2.57580281844105,2.07408099242912,2.43163560470754,0.918956573263647,1.17039962677465,0.0937547204934325,0.673465253524603,1.06674518190366,0.912964603030447,0.666278521407265,0.745344094318877
"18","cls_eu",2.45618012779861,2.79159560451071,3.68811123027301,1.81884065360997,1.07176445082239,1.44913993881275,3.55444615285344,2.36983344917429,4.99552222612946,1.40331913063405,13.0479943879998,2.08310192342225,5.92045630100278,2.03595484359771,2.29219604096241,0.112363306763002,0.966167011887913,1.46696582164556,1.32531114387031,0.604379302341462,0.693799502443534
"19","cls_rgn",1.10702662005219,1.91079561527286,2.42241314340442,1.76773193314051,0.780277383880038,0.56543984603145,2.70103951091833,3.18598558048527,2.92431379407734,1.01812820955306,2.20452626732072,1.68676155460659,3.37403198723677,2.11506327805266,1.15011330607387,0.0948078442527122,0.661332056064916,1.13582296836481,0.975508457974778,0.845751025796912,0.748783219758823
"20","cls_vlg",1.47284297789153,2.04528878640919,2.12288558987937,1.59592086182699,0.920349928543108,0.574487527554547,3.14015649775929,2.05293432415667,2.64481711272965,1.21244340853037,2.36988623870342,1.52166408220954,3.28034228961469,1.63277452593606,2.01935578383803,0.113842316381984,1.73518698614841,1.16320836383324,1.28560273255282,0.787167685747311,0.385047801326432
"21","cls_wrl",1.90899371931452,2.27123579606143,3.46792683238227,2.11975699126036,1.35331365278407,0.691481560232402,4.16729737623372,1.90492723735852,4.51099766207373,1.41135695897091,2.82858869387713,2.60811496872191,3.89573690689777,2.13854615956147,1.68079306793137,0.142802772683677,0.898414548759824,1.47532808185286,1.34688465667771,0.642237409635696,0.926072708252327
"22","cq_hwr",0.567970966110343,1.66388912601216,1.32659779161791,0.415371280964649,0.508048561503522,0.278331358187232,1.57973393604545,0.867025995639867,1.34319375660375,0.607030897154111,0.943640737640826,1.03454097233552,1.05637664441149,1.02418069925595,0.56374041738915,0.0845520343656223,1.29302433142989,0.946897971156518,0.599081150436834,0.260576743089782,0.113203422794289
"23","cq_img",0.581221724804396,1.07892792053284,1.28965268541176,1.20484765350592,0.371820849436998,0.376179688432948,1.33839244865478,0.748507430947399,1.96392858268826,0.993539576391147,0.994664405912782,0.918484862170101,1.69238901816691,1.96039114367878,0.452601681376002,0.0320267407607107,0.605898904569206,1.3299058054405,0.568605566134623,0.595256302156634,0.251970130681119
"24","cq_ind",0.736552718642422,1.03889819088368,1.54063736044083,0.813476424811017,0.452179964370735,0.30437016210617,1.35630781961546,0.807870888421598,1.39312849918516,0.455818018192877,1.05981690236717,1.40541223219867,1.61517481283723,0.639440819547486,0.92214368450939,0.0592840284541304,0.404609998257816,0.890529240829343,0.606224716658188,0.256338944703957,0.281545905258194
"25","cq_mnr",0.647918587415181,0.967472209307429,0.729753671971329,2.19413114471842,0.41480517061607,0.159305065776449,1.28755522887032,0.527316256701417,2.40955935892094,0.532252674967487,0.956615514894713,1.20404996631126,0.799415112203209,1.05323801284241,0.728144400003236,0.0533126786345477,0.446623420349989,1.09293244071718,0.503386915917241,0.247748947702855,0.279919887627576
"26","cq_obd",0.643602164944768,0.70204283328011,1.75098014345037,0.399774359969891,0.455973211091038,0.35519202870616,1.23432507208884,0.471665641005671,1.00040356426996,0.578743437675047,0.855890046833389,1.16172423068142,1.31622786387285,1.58353257050549,0.637350263293181,0.052444648167395,0.245419073328576,0.804247238107024,0.693619111962985,0.269850357406381,0.296269845453808
"27","cq_prs",1.03075187354689,1.05771604156574,1.64614435152504,0.696810237544164,0.576795973059562,0.385955858153774,1.27907533230183,0.832772850340504,1.34696766485054,0.58452442815249,0.908861484442517,1.42342616884429,1.4932630744636,1.06619531981647,0.562986274148959,0.0749244352850306,0.490224445360978,1.70793603449624,0.73150126535003,0.373515024294347,0.28026222299887
"28","cq_rlg",0.580210408084433,0.748742517046257,0.981205794242424,0.255242325608525,0.121509523520802,0.184997041861645,0.59444713801259,0.255757350407861,0.517334742271052,0.332606556463221,0.893052080083184,0.929337029501731,0.930590769962235,0.40241679222778,1.57439984952618,0.0499938471397639,0.481704530057289,1.09296234523336,0.303931521459155,0.242741748405239,0.0962227861373759
"29","cq_rsp",0.757312581141805,0.675871334141159,1.64110620786832,0.785385557161282,0.256152369333542,0.258378271724063,1.92502126686771,0.686317060268038,1.33758886794755,0.442310122647875,0.946914343510146,0.860115400773361,0.775681886180182,0.79697271898462,0.654635587375364,0.0614802722113387,0.405645048610033,0.868934612964212,0.548466023721484,0.171104265132566,0.151614302150462
"30","cq_thr",1.08493459263825,1.38937156652091,1.79952391760672,0.402300713770489,0.567320041676122,0.378485658376707,1.2828861757229,0.82118848272294,1.21096445525827,0.638080091839669,0.970557763615351,1.42018869759969,2.40594111454153,0.805578918983762,0.91520194670178,0.0802076237711267,0.498950734038033,1.07136925163401,0.532637834384434,0.38943134748154,0.342206091519767
"31","cq_tlr",0.839460625386173,0.914161539052599,1.58054791626283,0.67434976298541,0.571598635140882,1.06705426801587,1.04513178008631,0.513167243283839,1.01608082831466,0.629656067178626,0.810656538105745,1.37304859337416,1.09484594069963,0.534987378760892,0.53998140074995,0.0745826828116695,0.401238599626702,0.994067638174113,0.626453950576169,0.219663516636262,0.501788365005904
