"","variables","Imp.var Austria","Imp.var Croatia","Imp.var Czechia","Imp.var Denmark","Imp.var Estonia","Imp.var Finland","Imp.var France","Imp.var Germany","Imp.var Great-Britain","Imp.var Hungary","Imp.var Italy","Imp.var Lithuania","Imp.var Netherlands","Imp.var Norway","Imp.var Poland","Imp.var Portugal","Imp.var Romania","Imp.var Slovakia","Imp.var Slovenia","Imp.var Spain","Imp.var Sweden"
"1","age",3.80898484881127,32.6635843873845,12.5717260708065,8.15907116416118,2.87004383135355,13.1329969642422,7.32471027633382,6.17028822817661,5.41524166998496,3.53866761377109,8.50619914547212,6.95190019806122,22.32012362711,3.9079919477648,2.73800871513975,3.86716371275951,3.91656044332386,19.8543576832805,3.16700884083046,9.38216506444039,2.21255190819718
"2","c_arm",2.95885342771562,5.09792359812772,5.20433007977763,254.004978005482,3.50197250997094,1.52029774659334,6.65875130308194,40.1398683326743,3.59876078659505,2.38144035834923,1.73257516502194,6.84190563310725,5.44611247069414,3.74082746847246,2.31857021057669,1.66775833024915,5.33533139417163,2.57512339056177,2.30874143885085,13.9632684171513,6.49685519708758
"3","c_chr",7.29107710262819,4.5846677750292,6.72473564888586,5.01493256474391,3.73083134621808,4.93317351025589,4.73305583427386,24.0016845081864,51.5110787386594,4.62316675173813,2.55685101324619,3.45786012431899,8.50176604992131,2.67537266809337,2.26645866326165,4.96392145478748,9.50424817487,3.70861314400087,5.03558746820639,7.5252461680478,30.4367015929739
"4","c_cmp",2.2332685421608,2.00233531151068,6.78717242560203,25.6248258860741,2.99143058318985,1.40675462672104,7.58685155587664,8.59634583730707,3.33738553065093,2.21866361651698,1.95019485818789,6.77769301145934,4.90763415825482,3.15382742169998,1.34471836343773,1.38063195264863,2.98726058469089,3.23997180247993,4.05503646401895,5.91552497281527,3.64540418929018
"5","c_cvl",2.73906729847684,4.91679133695208,5.11795183170239,4.77326036756011,2.63609221127254,23.1242708448185,4.34935529092278,52.8787418833486,3.93127659277976,1.38166142522459,3.77135634689369,12.4398685858513,14.1240753417439,3.3064051286061,1.02457882902394,1.43220559146666,6.10223154294905,6.03117187242632,2.67037155327258,1.85722245017675,14.5660791870538
"6","c_env",9.8553036486504,2.54777149267755,7.19768338933259,7.09224507262606,2.84793516989786,0.900047548599432,4.28419642039126,5.86087088602553,7.7820856563968,1.58504812812378,1.84238895215006,3.05951290025311,14.0505173118821,10.8870503302129,2.02851097397726,1.19495833560884,2.00261397294784,5.44177263300109,2.15876557019972,5.14918368932723,3.78548600084836
"7","c_eu1",29.6116340747232,24.9394455188514,12.694542243487,21.3810310581596,4.46976394725188,4.99010314308602,7.13726713785402,7.69288963833468,5.11859478260322,8.66277291699372,36.9989571537529,2.73701765248652,20.7319882546683,37.7556593309537,8.34023652895091,1.92891727432998,2.06231509667961,6.09902836885204,2.18544855505597,2.12404687459484,5.29907699254563
"8","c_gvr",4.22731559199213,3.52969834456254,4.74574789187191,49.161763841402,4.71737327223951,17.7221223978714,12.1933418290349,32.3312292930341,3.21176782647278,33.7529002935364,2.58502991357875,4.16699856031957,65.68891951407,10.971894020545,29.3661820841633,3.21354902044896,5.90241151179101,5.73145494585897,2.28194938994733,4.61547233066647,46.0138408088999
"9","c_jst",6.57658542149751,3.42712551272569,4.8066138590861,6.75466563488237,24.8555622413639,8.87980443751974,4.73760485468115,17.4562970073804,3.1447136923956,2.20177804794362,8.8910656309565,3.29929917318548,40.2629516603677,2.99502223843829,1.69361721513358,1.90752062010505,2.33340249441872,2.56110800661565,1.98384832024144,2.09712064645972,8.03331292723824
"10","c_onu",6.74159688601133,4.55194843312569,5.37031755703385,2.61052348949147,3.50111409494398,1.50510602690811,4.9702482065267,3.68041998042328,3.13512092267235,9.81520989760948,4.24187523347752,3.44210843021047,10.7849491325329,6.71360586003163,2.12306510555812,1.6677652340843,1.98205783037422,3.84334192866669,2.08457313025468,3.54888160066888,35.6893565366987
"11","c_plc",2.85350342037094,17.0265784404325,4.44260099014767,13.9814257197622,1.61914531818196,0.879993404118585,6.24804774554322,4.09291880408859,3.35851102405859,2.09812596595507,1.84984812369169,3.71962546188158,7.45714653631224,2.81835897967562,1.46475426641601,2.39989150308264,5.34412367548209,2.38482121967196,2.52061054204965,13.5774242057914,17.7377906422872
"12","c_prl",3.07997823747333,9.01885946050499,5.46283954406409,33.6922535499767,25.2540201784524,24.2814201451939,7.65838702934361,51.3309733862644,2.47150477541015,3.7879927779376,2.27916549606919,8.21820422778097,35.5080215871713,3.72871403305176,6.81616565763265,3.08034896722052,11.0003586989678,5.75021894562606,1.93465892764462,4.86735705931626,89.1577932306482
"13","c_prs",6.95948323080817,4.42349354721969,5.9582226457672,2.97376200554911,8.70484655170792,2.74633315466925,4.3093597646945,18.7384512382195,2.67353239782559,1.70688851842637,20.2124708206414,2.87425752533849,5.61926753519795,4.40898657339426,1.54903781095758,3.64684767881624,4.01462567003241,2.45079032345733,1.91845582844776,1.83150514474716,3.26072667409277
"14","c_prt",3.63571441200063,1.60998262676971,4.17768689712244,3.65595776334749,1.95691084884794,2.44645909321364,6.25713117882802,6.22640553661878,2.56477068499967,1.65604919955048,1.99970211793841,3.2575008912351,6.73848962478358,4.27748686560073,0.924805679251834,2.08871690666721,8.2251756266716,2.49199948229615,1.98260785372246,3.83995343302945,5.56769721732284
