"","country","best-tune","best-tune-smote"
"1","Austria",15,14
"2","Croatia",13,7
"3","Czechia",13,10
"4","Denmark",15,12
"5","Estonia",11,8
"6","Finland",10,5
"7","France",9,8
"8","Germany",15,15
"9","Great-Britain",10,12
"10","Hungary",14,11
"11","Italy",14,13
"12","Lithuania",6,4
"13","Netherlands",15,14
"14","Norway",7,14
"15","Poland",9,7
"16","Portugal",1,1
"17","Romania",11,1
"18","Slovakia",13,10
"19","Slovenia",10,4
"20","Spain",15,13
"21","Sweden",15,15
