"","country","best-tune","best-tune-smote"
"1","Austria",43,118
"2","Croatia",54,56
"3","Czechia",135,40
"4","Denmark",52,74
"5","Estonia",89,93
"6","Finland",113,36
"7","France",42,5
"8","Germany",39,55
"9","Great-Britain",110,49
"10","Hungary",102,30
"11","Italy",35,116
"12","Lithuania",43,28
"13","Netherlands",84,109
"14","Norway",121,58
"15","Poland",47,83
"16","Portugal",53,87
"17","Romania",62,36
"18","Slovakia",78,18
"19","Slovenia",16,78
"20","Spain",28,24
"21","Sweden",26,25
